gluten	adesivo, colla	adhesivo, pegamento, aleurona	adhésif, colle	adhesive, glue	粘着物, 接着剤, アドヒーシブ
gradior	camminare	caminar, ir a pie, ir andando, andar, ir a pie, ir andando, ir	marcher, promener	walk, wandelen, wandelen	歩く
Graecum antiquum	greco antico	griego antiguo	grec ancien	Ancient Greek, Old Greek	古代ギリシャ語
Graecus	ellenico, greco	griega, griego, greco, greca	grec, hellénique	Greek, Hellenic, Grecian	
Granata	Grenada	Granada	Grenade	Grenada	グレナダ
grandinare	grandinare	granizar	grêler	hail	
grando	grandine	granizo, pedrisco	grêle	hail	ひょう, 雹
grapheocràtia	burocrazia	burocracia	bureaucratie	bureaucracy	官僚制
gratia	gratitudine	gratitud, agradecimiento	gratitude, reconnaissance	gratitude, gratefulness, thankfulness	
gratias agere	ringraziare	dar las gracias, agradecer	remercier	thank	感謝する
gravedo	raffreddore, raffreddore comune	resfriado, catarro, resfriamiento	rhume banal, rhume, rhinopharyngite, nasopharyngite	common cold, viral upper respiratory tract infection, VURI, acute viral nasopharyngitis, cold, acute viral rhinopharyngitis, acute coryza	風邪, 細菌性の風邪
gravida	incinta, gravida, in dolce attesa	embarazada, encinta, preñada, grávida, gestante	enceinte	pregnant, expecting, gravid	妊娠, おめでた
graviditas	gravidanza, gestazione	embarazo	grossesse, gestation	pregnancy, gravidity, gestation, gestation period	妊娠
gravis	pesante	pesado	lourd, pesant, pondéreux	heavy	重い
graviton	gravitone	gravitón	graviton	graviton	重力子
grus	gru cenerina, gru	grulla común, grúido, grulla	grue, gruidé	crane	鶴
gryllus	grillo	grillo	criquet, acridien	cricket	蟋蟀
Grātis	gratuito, gratis, in omaggio	gratuito, gratis, gratuita	gratuit, gratis	free, complimentary	無料
Guama	Guam	Guam	Guam	Guam, Guam, Guam	グアム
Guiana	Guayana	Guyana	Guyana	Guyana, Republic of Guyana	ガイアナ
Guiana Francica	Guyana Francese	Guayana Francesa	Guyane, Guyane française	French Guiana	フランス領ギアナ
Guinea	Guinea	Guinea	Guinée, République de Guinée	Guinea, Republic of Guinea	ギニア
Guinea Aequatorensis	Guinea Equatoriale	Guinea Ecuatorial	Guinée équatoriale	Equatorial Guinea, Republic of Equatorial Guinea	赤道ギニア
Guinea Bissaviensis	Guinea Bissau	Guinea-Bissau	Guinée-Bissao, Guinée-Bissau	Guinea-Bissau, Republic of Guinea-Bissau	ギニアビサウ
gustare	gustare, assaggiare, degustare	degustar, saborear, catar, probar	goûter	taste	味わう, 嘗める, 味見する
gutta	gotta	gota	goutte	gout	痛風
gyroscopium	giroscopio	giróscopo	gyroscope	gyroscope	ジャイロスコープ
Gömörinum		Gemer	Gömör, Gemer	Gemer	ゲメル
haedus	capretto	cabrito	chevreau, biquet, cabri	kid	
haesitare	esitare	vacilar, balancear, dudar	hésiter, vaciller, balancer, chanceler	hesitate	ためらう, 躊躇する
Hafnia	Copenaghen	Copenhague	Copenhague	Copenhagen	コペンハーゲン
hafnium	afnio	hafnio	hafnium	hafnium	ハフニウム
hagiographia	agiografia	hagiografía	hagiographie	hagiography	
halipleumon	medusa	medusa, aguamala, aguaviva, malagua	méduse	jellyfish	海月, 水母, クラゲ, すいぼ
halmaturus	canguro	canguro	kangourou	kangaroo, macropod	カンガルー
hariolus	lettore della mano, cartomante, indovino, chiromante	adivino, adivinador, clarividente, agorero	diseur de bonne aventure	fortune teller, fortuneteller, fortune-teller	占い師
Harrius Potter	Harry Potter	Harry Potter	Harry Potter	Harry Potter	ハリー・ポッター
hassium	hassio	hassio	hassium	hassium	ハッシウム
hebdomadalis	settimanale	semanal	hebdomadaire	weekly	
hebdomas	settimana	semana	semaine	week	週間
Hebraeorum doctor	rabbino	rabino	rabbin	rabbi	
helicopterus	elicottero	helicóptero, autogiro	hélicoptère	helicopter	ヘリコプター
heliosphaera	eliosfera	heliosfera	héliosphère	heliosphere	太陽圏
Helium	elio	helio	hélium	helium	ヘリウム
helium	elio	helio	hélium	helium	ヘリウム
herba	erba	hierba	herbe	herb	ハーブ
Herculaneum	Ercolano	Herculano	Herculanum	Herculaneum	
heri	ieri	ayer	hier	yesterday	
heroinum	eroina	heroína	héroïne	heroin	ヘロイン
heros	eroe	héroe, heroína	héros	hero	ヒーロー
herpetologia	erpetologia	herpetología	herpétologie	herpetology	爬虫両棲類学
heterogeneus	eterogeneo	heterogéneo, diverso	hétérogène	heterogeneous	
hibernare	svernare, invernare	invernar	hiverner	winter, overwinter	
Hibernia	Irlanda, isola d'Irlanda	Irlanda	Irlande, île d'Émeraude, ile d'Émeraude	Ireland	アイルランド
hic		aquí	ici	here	
Hinduismus	induismo	Hinduismo	Hindouisme, hindouisme	Hinduism	ヒンズー教
hinnire	nitrire	relinchar	hennir	neigh	
hinnitus	nitrito	relincho	hennissement	neigh	
hippopotamus	ippopotamo	hipopótamo	hippopotame	hippopotamus, hippo	河馬
hirundo	rondine	golondrina	hirondelle	swallow	燕, ツバメ
Hispania	Hispania	Hispania		Hispania	
historicus	storico	histórico, histórica	historique	historical, historic	
hodie	oggi	hoy	aujourd'hui	today	今日, きょう, 本日
holocaustoma	olocausto	holocausto	holocauste	holocaust, burnt sacrifice	
holocaustum	olocausto	holocausto	holocauste	holocaust, burnt sacrifice	
holus	verdura, vegetale	hortalizas, hortaliza, vegetal	légume	vegetable	野菜
homo	uomo	hombre, varón	homme, type, bonhomme, mec, gars	male, man	男性, 男の人
homophobia	omofobia	homofobia	homophobie	homophobia	ホモフォビア, 同性愛嫌悪
honos	onore	honor	honneur		名誉
hora	ora	hora	heure	hour	時, 時間
hordeum	orzo	cebada	orge	barley	オオムギ
horologium	orologio	reloj	horloge	clock	時計
hospita æronautica	assistente di volo, steward, hostess	auxiliar de vuelo, azafato, aeromozo, tripulante de cabina de pasajeros	steward	flight attendant, cabin crew, steward, cabin attendant	
hospitalis	ospitale	hospitalario, hospitalaria	hospitalier	hospitable, guestfriendly, guest-friendly	もてなしのよい
hospitālis	ospitale	hospitalario, hospitalaria	hospitalier	hospitable, guestfriendly, guest-friendly	もてなしのよい
Hybla Heraia	Ragusa	Ragusa	Raguse	Ragusa	
hydrargyrus	mercurio	mercurio, hidrargirio	mercure	mercury	水銀
hydrogenium	idrogeno	hidrógeno	hydrogène	hydrogen	水素
hypocrita	ipocrita	hipócrita	hypocrite, faux-cul	hypocrite	
i.a.	tra l'altro, tra le altre cose	entre otras cosas		among other things	
iam	già	ya	déjà	already	既に
ianua	porta, portiera, sportello	puerta	porte, huis	gate, door	門, 戸, 扉, ドア
Ianuarius	gennaio	enero	janvier	January	一月, 睦月, 1月
ibi	allà, là, lì	allí, ahí, allá	là	there	
Ibla Minor	Ragusa	Ragusa	Raguse	Ragusa	
icon	icona	icono, ícono		icon	聖像
iconostasis	iconÒstasi, Iconòstasi		iconostase	Iconostasis, iconostasis	イコノスタシス
Idefix	Idefix, Ercolino	Idefix, Ideafix	Idéfix	Dogmatix	
ideologia	ideologia, weltanschauung, visione del mondo	ideología	idéologie	ideology	イデオロギー
ieiunus	affamato	hambriento	affamé	hungry	
Iemenia	Yemen	Yemen, Yemén	Yémen	Yemen, Republic of Yemen	イエメン
ientāculum	colazione	desayuno	petit-déjeuner, repas du matin, déjeuner, petit-déjeuner, petit déjeuner	breakfast	朝食
ignis	incendio, fuoco	incendios, incendio, fuego	incendie, feu	fire	火
ignis sacer	ergotismo	ergotismo	ergotisme, mal des ardents, feu de Saint-Antoine	ergotism, ergotoxicosis, ergot poisoning, Saint Anthony's Fire	
iloco	subito, immediatamente	inmediatamente, enseguida, en seguida, de inmediato	immédiatement, tout de suite, sur-le-champ, illico, de suite, dare-dare, astheure, à c't'heure	immediately, instandly, at once, instantly, straightaway, straight off, directly, now, right away, forthwith, like a shot, right now	すぐに
imbridus	piovoso, pluviale	lluvioso	pluvieux	rainy	雨が降る
Immunoglobulis	Immunoglobulina			immunoglobulin	
imperium populi	democrazia	democracia	démocratie	democracy	民主主義, 民主, デモクラシー
Imperium Romaniae	Impero latino di Costantinopoli, Impero latino d'Oriente	Imperio latino, Imperio latino de Constantinopla	Empire latin de Constantinople	Latin Empire, Latin Empire of Constantinople	ラテン帝国
Imperium Romanum	Impero Romano	Imperio romano	Empire romain	Roman Empire	
impluvium	impluvio	impluvio, impluvium	impluvium	impluvium	
importunitas	indiscrezione	indiscreción	indiscrétion	indiscretion	
impossibilitas	impossibilità	imposibilidad	impossibilité	impossibility	
impunis	impune, impunito	impune, indemne, libre, exento, inmune	impuni	unpunished	
impunitas	impunità	impunidad	impunité	impunity	
in crastinum			à demain	see you tomorrow	またね, また明日, また明日]][[ね, また, また明日会いましょう, また明日お会いしましょう, じゃあね
in flagrante delicto	con le mani nel sacco, in flagranza	en flagrancia, con las manos en la masa, in fraganti	la main dans le sac, en flagrant délit	red-handed, in the act	現行犯
in medias res				in medias res; in medias res; in medias res, in medias res	
in utero		in utero	in utero	in utero	
in vitro	in vitro	in vitro	in vitro	in vitro	
incendarius	incendiario, incendiario, incendiario; incendiario, incendiario, incendiario; incendiario, incendiario, incendiario	incendiario, incendiaria, incendiario, incendiaria, incendiario, incendiaria; incendiario, incendiaria, incendiario, incendiaria, incendiario, incendiaria; incendiario, incendiaria, incendiario, incendiaria, incendiario, incendiaria	incendiaire, incendiaire, incendiaire; incendiaire, incendiaire, incendiaire; incendiaire, incendiaire, incendiaire	arsonist, incendiary, firebug, arsonist, arsonist; arsonist, incendiary, firebug, arsonist, arsonist; arsonist, incendiary, firebug, arsonist, arsonist	
incendium	incendio	incendio, fuego	incendie, feu	fire, fire	火事, 火災
incestus	incesto	incesto	inceste	incest	近親相姦
incircumcisus	incirconciso, non circonciso	incircunciso	incirconcis	uncircumcised, uncut	
Incisura jugularis			fourchette sternale	suprasternal notch, jugular notch	
incisura jugularis			fourchette sternale	suprasternal notch, jugular notch	
incola	abitante, residente	habitamte, habitante	habitant	inhabitant, habitant, resident, inhabitant	
incruentus	incruento	incruento	non sanglant	bloodless, unbloody	
incubus	incubo	pesadilla	cauchemar, mauvais rêve	nightmare	悪夢
index	indice	índice	index	forefinger, index finger, teacher, arrow-finger, demonstrator, index, insignitor, lickpot, pointer, pointer finger, pointling, showing finger, trigger finger	人差し指
India	India	India	Inde	India, Republic of India	インド
indicum	indaco	índigo, añil	indigo	indigo	インジゴ, 藍色
indium	indio	indio	indium	indium	インジウム
inermis	disarmato	desarmado, desarmada	non armé, inerme	unarmed	
infans	neonato	bebé	bébé, nourisson	baby, babe, infaneto, infant	赤ちゃん, 赤ん坊
infectio	infezione; infezione, contagio	infección, contagio; infección, contagio	infection, contamination; infection	infection, contagion; infection, contagion	感染; 感染症
infeliciter	sfortunatamente, purtroppo, malauguratamente	desafortunadamente	malheureusement, hélas, à la male heure, malencontreusement	unfortunately	生憎, 残念
infertilis	infertile, sterile, infecondo	infértil, estéril, infecundo	infertile, infécond, brehaigne, bréhaigne, stérile	infertile, barren	不妊, 不毛
inficere	infettare, contagiare	contagiar, infectar	infecter, contaminer	infect	感染
infirma	debole	débil, endeble, feble	faible	feeble	弱い, 弱々しい
infirmum	debole	débil, endeble, feble	faible	feeble	弱い, 弱々しい
infirmus	debole; malato, ammalato; debole	débil; malo, enfermo, mala, enferma; débil, endeble, feble	faible; malade; faible	weak; ill, sick; feeble	弱い; 病気; 弱い, 弱々しい
Inflatus	tronfio, spavaldo, impertinente, arrogante			cocky	
ingratitudo	ingratitudine	ingratitud	ingratitude	ingratitude, thanklessness, unthankfulness, ungratefulness	
inhumanus	a sangue freddo, disumano	a sangre fría, inhumano		cold, cold-blooded	
iniquus	disuguale, ineguale, diseguale	desigual	inégal	unequal	
innocens	innocente, innocuo; innocente	inocuo, inocua; inocente	inoffensif, innocent; innocent	innocuous, innocent; innocent, guiltless, clean-handed	
inquinō	sporcare, insudiciare, insozzare	ensuciar	salir, encrasser, cochonner, souiller	soil, dirty, sully, defile	
inquisitor	inquisitore	inquisidor	inquisiteur	inquisitor	
insanabilis	incurabile, inguaribile, insanabile	incurable	incurable, inguérissable, insoignable, irrémédiable	incurable, uncurable, irremediable, immedicable	
inscriptio cursus eletronici	indirizzo email, indirizzo mail, indirizzo di posta elettronica	dirección de correo electrónico	adresse de courrier électronique, adresse électronique, adresse courriel, adresse e-mail, adresse mail	e-mail address, email address	電子メールアドレス, メールアドレス, メルアド, メアド, アドレス
insomnia	insonnia	insomnio	insomnie	insomnia, sleeplessness	不眠症
instruere	educare, esercitare, formare, insegnare, istruire, allenare	preparar, entrenar		train, develop, prepare, educate	
instruo	istruire	instruir	instruire	instruct	
insula	isola; insula	isla; insula	île, ile; insula	island, isle; insula	島; インスラ
insula Paschae	Isola di Pasqua	Isla de Pascua	Île de Pâques, île de Pâques, Ile de Pâques, ile de Pâques	Isla de Pascua, Easter Island	イースター島
Insulae Faeroae	Isole Fær Øer	Islas Feroe	Îles Féroé, Iles Féroé	Faroe Islands	フェロー諸島
Insulae Malvinae	isole Falkland, isole Malvine	islas Malvinas, Islas Falkland, Malvinas	Malouines, îles Falkland	Falkland Islands	フォークランド諸島
Insulae Marianae Septentrionales	Isole Marianne del Nord	Islas Marianas del Norte	Îles Mariannes du Nord	Northern Mariana Islands, the Commonwealth of the Northern Mariana Islands	北マリアナ諸島, 北マリアナ諸島連邦
Insulae Marsalienses	Isole Marshall f, Isole Marshall	Islas Marshall	Îles Marshall	Marshall Islands, Republic of the Marshall Islands	マーシャル諸島
Insulae Salomonicae	Isole Salomone	Islas Salomón	Îles Salomon, Salomon, îles Salomon, iles Salomon, Iles Salomon	Solomon Islands	ソロモン諸島
Insulae Sancti Thomae et Principis	São Tomé e Príncipe	Santo Tomé y Príncipe	Sao Tomé-et-Principe	São Tomé and Príncipe	サントメプリンシペ
inter alia	tra l'altro, tra le altre cose	entre otras cosas		among other things	
interdicere	proibire, vietare	prohibir	interdire, défendre	forbid, disallow, prohibit, interdict, proscribe, veto, nix	
interitus	abolizione	abolición	abolition, abolissement	abolishment, abolition	廃止, 撤廃
interpres	traduttore; interprete	traductor, traductora; interpréte, intérprete	traducteur; interprète	translator; interpreter	翻訳者; 通訳者, 通訳
interpretatio	traduzione	traducción	traduction	translation, interlingual rendition, rendering, version	翻訳
intervallum	intervallo, finestra temporale	intervalo	intervalle	window, gap, interval	間隔
intervenire	intervenire	intervenir	intervenir	intervene	
intestinalis	intestinale	intestinal	intestinal	intestinal	
inundatio	piena, inondazione	crecidas	crue, inondation	flood	洪水
invenīre	trovare, imbattersi, scoprire, realizzare	encontrar, hallar, descubrir	trouver	find, come across, bump, encounter	見つける
invito	invitare	invitar, convidar	inviter	invite	誘う, 招待する, 招く, 請う
involucrum epistulare	busta	sobre	enveloppe	envelope	封筒
